year,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf
1992,Turkey,Aylin Vatankos,Yaz Bitti,19,,4,,19,17,,,,,,
1992,Belgium,Morgane,Nous On Veut Des Violons,20,,2,,20,11,,,,,,
1992,Luxembourg,Marion Welter and Kontinent,Sou Fräi,21,,14,,21,10,,,,,,
1992,Sweden,Christer Björkman,I Morgon är En Annan Dag,22,,7,,22,9,,,,,,
1992,Finland,Pave,Yamma Yamma,23,,12,,23,4,,,,,,
1993,Ireland,Niamh Kavanagh,In Your Eyes,1,,14,,1,187,,,,,,
1993,United Kingdom,Sonia,Better The Devil You Know,2,,19,,2,164,,,,,,
1993,Switzerland,Annie Cotton,"Moi, Tout Simplement",3,,4,,3,148,,,,,,
1993,France,Patrick Fiori,Mama Corsica,4,,12,,4,121,,,,,,
1993,Norway,Silje Vige,Alle Mine Tankar,5,,25,,5,120,,,,,,
1993,Netherlands,Ruth Jacott,Vrede,6,,20,,6,92,,,,,,
1993,Sweden,Arvingarna,Eloïse,7,,13,,7,89,,,,,,
1993,Malta,William Mangion,This Time,8,,8,,8,69,,,,,,
1993,Greece,Kaiti Garbi,"Ellada, Hora Tou Fotos",9,,6,,9,64,,,,,,
1993,Portugal,Anabela,A Cidade Até Ser Dia,10,,11,,10,60,,,,,,
1993,Spain,Eva Santamaria,Hombres,11,,22,,11,58,,,,,,
1993,Italy,Enrico Ruggeri,Sole D'europa,12,,1,,12,45,,,,,,
1993,Iceland,Inga,þá Veistu Svarið,13,,9,,13,42,,,,,,
1993,Austria,Tony Wegas,Maria Magdalena,14,,10,,14,32,,,,,,
1993,Croatia,Put,Don't Ever Cry,15,,21,,15,31,,,,,,
1993,Bosnia & Herzegovina,Fazla,Sva Bol Svijeta,16,,18,,16,27,,,,,,
1993,Finland,Katri-Helena,Tule Luo,17,,17,,17,20,,,,,,
1993,Germany,Münchener Freiheit,Viel Zu Weit,18,,3,,18,18,,,,,,
1993,Cyprus,Kyriakos Zymboulakis & Demos Van Beke,Mi Stamatas,19,,23,,19,17,,,,,,
1993,Luxembourg,Modern Times,Donne-moi Une Chance,20,,15,,20,11,,,,,,
1993,Turkey,"Burak Aydos, Öztürk Baybora & Serter",Esmer Yarim,21,,2,,21,10,,,,,,
1993,Denmark,Tommy Seebach Band,Under Stjernerne På Himlen,22,,5,,22,9,,,,,,
1993,Slovenia,1X Band,Tih Dezeven Dan,22,,16,,22,9,,,,,,
1993,Israel,Lakahat Shiru,Shiru,24,,24,,24,4,,,,,,
1993,Belgium,Barbara,Iemand Als Jij,25,,7,,25,3,,,,,,
1994,Ireland,Paul Harrington & Charlie McGettigan,Rock 'n' Roll Kids,1,,3,,1,226,,,,,,
1994,Poland,Edyta Górniak,To Nie Ja!,2,,24,,2,166,,,,,,
1994,Germany,MeKaDo,Wir Geben 'ne Party,3,,14,,3,128,,,,,,
1994,Hungary,Friderika Bayer,Kinek Mondjam El Vétkeimet,4,,22,,4,122,,,,,,
1994,Malta,Moira Stafrace and Christopher Scicluna,More Than Love,5,,12,,5,97,,,,,,
1994,Norway,Elisabeth Andreasson & Jan Werner Danielsen,Duett,6,,17,,6,76,,,,,,
1994,France,Nina Morato,Je Suis Un Vrai Garçon,7,,25,,7,74,,,,,,
1994,Portugal,Sara Tavares,Chamar A Música,8,,8,,8,73,,,,,,
1994,Russia,Youddiph,Vechni Stranik,9,,23,,9,70,,,,,,
1994,United Kingdom,Frances Ruffelle,We Will Be Free (lonely Symphony),10,,6,,10,63,,,,,,
1994,Cyprus,Evridiki,Ime Anthropos Ke Ego,11,,4,,11,51,,,,,,
1994,Iceland,Sigga,Nætur,12,,5,,12,49,,,,,,
1994,Sweden,Marie Bergman and Roger Pontare,Stjärnorna,13,,1,,13,48,,,,,,
1994,Greece,Costas Bigalis and the Sea Lovers,To Trehantiri,14,,19,,14,44,,,,,,
1994,Bosnia & Herzegovina,Alma and Dejan,Ostani Kraj Mene,15,,18,,15,39,,,,,,
1994,Croatia,Tony Cetinski,Nek'ti Bude Ljubav Sva,16,,7,,16,27,,,,,,
1994,Austria,Petra Frey,Für Den Frieden Der Welt,17,,20,,17,19,,,,,,
1994,Spain,Alejandro Abad,Ella No Es Ella,18,,21,,18,17,,,,,,
1994,Switzerland,Duilio,Sto Pregando,19,,9,,19,15,,,,,,
1994,Slovakia,Martin Durinda and Tublatanka,Nekovecná Piesen,19,,15,,19,15,,,,,,
1994,Romania,Dan Bittman,Dincolo De Nori,21,,11,,21,14,,,,,,
1994,Finland,CatCat,Bye Bye Baby,22,,2,,22,11,,,,,,
1994,Netherlands,Willeke Alberti,Waar Is De Zon,23,,13,,23,4,,,,,,
1994,Estonia,Silvi Vrait,Nagu Merelaine,24,,10,,24,2,,,,,,
1994,Lithuania,Ovidijus Vyšniauskas,Lopšinė mylimai,25,,16,,25,0,,,,,,
1995,Norway,Secret Garden,Nocturne,1,,5,,1,148,,,,,,
1995,Spain,Anabel Conde,Vuelve Conmigo,2,,9,,2,119,,,,,,
1995,Sweden,Jan Johansen,Se På Mej,3,,18,,3,100,,,,,,
1995,France,Nathalie Santamaria,Il Me Donne Rendez-vous,4,,12,,4,94,,,,,,
1995,Denmark,Aud Wilken,Fra Mols Til Skagen,5,,19,,5,92,,,,,,
1995,Croatia,Magazin and Lidija,Nostalgija,6,,11,,6,91,,,,,,
1995,Slovenia,Darja Svajger,Prisluhni Mi,7,,20,,7,84,,,,,,
1995,Israel,Liora,Amen,8,,21,,8,81,,,,,,
1995,Cyprus,Alexandros Panayi,Sti Fotia,9,,17,,9,79,,,,,,
1995,United Kingdom,Love City Groove,,10,,15,,10,76,,,,,,
1995,Malta,Mike Spiteri,Keep Me In Mind,10,,22,,10,76,,,,,,
1995,Greece,Elina Constantopoulou,Pia Prosefhi,12,,23,,12,68,,,,,,
1995,Austria,Stella Jones,Die Welt Dreht Sich Verkehrt,13,,8,,13,67,,,,,,
1995,Ireland,Eddie Friel,Dreamin',14,,2,,14,44,,,,,,
1995,Iceland,Bó Halldórsson,Núna,15,,7,,15,31,,,,,,
1995,Turkey,Arzu Ece,Sev!,16,,10,,16,21,,,,,,
1995,Russia,Philipp Kirkorov,Kolybelnaya Dlya Vulkana,17,,6,,17,17,,,,,,
1995,Poland,Justyna,Sama,18,,1,,18,15,,,,,,
1995,Bosnia & Herzegovina,Davor Popovic,Dvadeset I Prvi Vijek,19,,4,,19,14,,,,,,
1995,Belgium,Frédéric Etherlinck,La Voix Est Libre,20,,14,,20,8,,,,,,
1995,Portugal,Tó Cruz,Baunilha E Chocolate,21,,16,,21,5,,,,,,
1995,Hungary,Czaba Szigeti,Ùj Nèv Egy Règi Hàz Fàlan,22,,13,,22,3,,,,,,
1995,Germany,Stone and Stone,Verliebt In Dich,23,,3,,23,1,,,,,,
1996,Ireland,Eimear Quinn,The Voice,1,,17,,1,162,,,,,,
1996,Norway,Elisabeth Andreasson,I Evighet,2,,12,,2,114,,,,,,
1996,Sweden,One More Time,Den Vilda,3,,23,,3,100,,,,,,
1996,Croatia,Maja Blagdan,Sveta Ljubav,4,,7,,4,98,,,,,,
1996,Estonia,Ivo Linna and Maarja-Liis Ilus,Kaelakee Hääl,5,,11,,5,94,,,,,,
1996,Portugal,Lúcia Moniz,O Meu Coração Não Tem Cor,6,,4,,6,92,,,,,,
1996,Netherlands,Maxine & Franklin Brown,De Eerste Keer,7,,15,,7,78,,,,,,
1996,United Kingdom,Gina G,Ooh...Aah...Just A Little Bit,8,,2,,8,77,,,,,,
1996,Cyprus,Constantinos,Mono Gia Mas,9,,5,,9,72,,,,,,
1996,Malta,Miriam Christine,In A Woman's Heart,10,,6,,10,68,,,,,,
1996,Austria,George Nußbaumer,Weil's Dr Guat Got,10,,8,,10,68,,,,,,
1996,Turkey,Şebnem Paker,Besinçi Mevsim,12,,1,,12,57,,,,,,
1996,Iceland,Anna Mjöll,Sjúbídú,13,,19,,13,51,,,,,,
1996,Greece,Marianna Efstratiou,Emis Forame To Himona Anixiatika,14,,10,,14,36,,,,,,
1996,Poland,Kasia Kowalska,Chce Znac Swój Grzech,15,,20,,15,31,,,,,,
1996,Switzerland,Cathy Leander,Mon Coeur L'aime,16,,9,,16,22,,,,,,
1996,Belgium,Lisa del Bo,Liefde Is Een Kaartspel,16,,16,,16,22,,,,,,
1996,Slovakia,Marcel Palonder,Kým Nás Máš,18,,22,,18,19,,,,,,
1996,France,Dan Ar Braz et l'Héritage des Celtes,Diwanit Bugale,19,,13,,19,18,,,,,,
1996,Spain,Antonio Carbonell,"¡Ay, Qué Deseo!",20,,3,,20,17,,,,,,
1996,Slovenia,Regina,Dan najlepših sanj,21,,14,,21,16,,,,,,
1996,Bosnia & Herzegovina,Amila Glamocak,Za Našu Ljubav,22,,21,,22,13,,,,,,
1996,Finland,Jasmine,Niin Kaunis On Taivas,23,,18,,23,9,,,,,,
1997,United Kingdom,Katrina and The Waves,Love Shine A Light,1,,24,,1,227,,,,,,
1997,Ireland,Marc Roberts,Mysterious Woman,2,,5,,2,157,,,,,,
1997,Turkey,Sebnem Paker and Group Etnic,Dinle,3,,2,,3,121,,,,,,
1997,Italy,Jalisse,Fiumi Di Parole,4,,9,,4,114,,,,,,
1997,Cyprus,Chara and Andreas Konstantinou,Mana Mou,5,,1,,5,98,,,,,,
1997,Spain,Marcos Llunas,Sin Rencor,6,,10,,6,96,,,,,,
1997,France,Fanny,Sentiments Songes,7,,22,,7,95,,,,,,
1997,Estonia,Maarja-Liis Ilus,Keelatud Maa,8,,13,,8,82,,,,,,
1997,Malta,Debbie Scerri,Let Me Fly,9,,18,,9,66,,,,,,
1997,Slovenia,Tanja Ribič,Zbudi Se,10,,6,,10,60,,,,,,
1997,Poland,Anna Maria Jopek,Ale Jestem,11,,12,,11,54,,,,,,
1997,Greece,Marianna Zorba,Horepse,12,,17,,12,39,,,,,,
1997,Hungary,VIP,"Miert Kell, Hogy Elmenj?",12,,19,,12,39,,,,,,
1997,Sweden,Blond,Bara Hon älskar Mig,14,,16,,14,36,,,,,,
1997,Russia,Alla Pugachova,Primadonna,15,,20,,15,33,,,,,,
1997,Denmark,Kølig Kaj,Stemmen I Mit Liv,16,,21,,16,25,,,,,,
1997,Croatia,ENI,Probudi Me,17,,23,,17,24,,,,,,
1997,Germany,Bianca Shomburg,Zeit,18,,11,,18,22,,,,,,
1997,Bosnia & Herzegovina,Alma Cardzic,Goodbye,18,,14,,18,22,,,,,,
1997,Iceland,Paul Oscar,Minn Hinsti Dans,20,,25,,20,18,,,,,,
1997,Austria,Bettina Soriat,One Step,21,,4,,21,12,,,,,,
1997,Switzerland,Barbara Berta,Dentro Di Me,22,,7,,22,5,,,,,,
1997,Netherlands,Mrs. Einstein,Niemand Heeft Nog Tijd,22,,8,,22,5,,,,,,
1997,Norway,Tor Endresen,San Francisco,24,,3,,24,0,,,,,,
1997,Portugal,Célia Lawson,Antes Do Adeus,24,,15,,24,0,,,,,,
1998,Israel,Dana International,Diva,1,,8,,1,172,,,,,,
1998,United Kingdom,Imaani,Where Are You?,2,,16,,2,166,,,,,,
1998,Malta,Chiara,The One That I Love,3,,10,,3,165,,,,,,
1998,Netherlands,Edsilia Rombley,Hemel En Aarde,4,,18,,4,150,,,,,,
1998,Croatia,Danijela,Neka Mi Ne Svane,5,,1,,5,131,,,,,,
1998,Belgium,Mélanie Cohl,Dis Oui,6,,20,,6,122,,,,,,
1998,Germany,Guildo Horn,Guildo Hat Euch Lieb,7,,9,,7,86,,,,,,
1998,Norway,Lars A. Fredriksen,Alltid Sommer,8,,22,,8,79,,,,,,
1998,Ireland,Dawn,Is Always Over Now?,9,,13,,9,64,,,,,,
1998,Sweden,Jill Johnson,Kärleken är,10,,19,,10,53,,,,,,
1998,Cyprus,Michael Hajiyanni,Genesis,11,,17,,11,37,,,,,,
1998,Portugal,Alma Lusa,Se Eu Te Pudesse Abraçar,12,,14,,12,36,,,,,,
1998,Estonia,Koit Toome,Mere Lapsed,12,,23,,12,36,,,,,,
1998,Turkey,Tüzmen,Unutamazsin,14,,24,,14,25,,,,,,
1998,Finland,Edea,Aava,15,,21,,15,22,,,,,,
1998,Spain,Mikel Herzog,¿Qué Voy A Hacer Sin Ti?,16,,4,,16,21,,,,,,
1998,Poland,Sixteen,To Takie Proste,17,,7,,17,19,,,,,,
1998,Slovenia,Vili Resnik,Naj Bogovi Sliijo,18,,12,,18,17,,,,,,
1998,North Macedonia,Vlado Janevski,"Ne Zori, Zoro",19,,25,,19,16,,,,,,
1998,Greece,Dionysia and Thalassa group,Mia Krifi Evaisthissia,20,,2,,20,12,,,,,,
1998,Slovakia,Katarína Hasprová,Modlitba,21,,6,,21,8,,,,,,
1998,Romania,Malina Olinescu,Eu Cred,22,,15,,22,6,,,,,,
1998,Hungary,Charlie,A Holnap Már Ném Lesz Szomorú,23,,11,,23,4,,,,,,
1998,France,Marie-Line,Où Aller,24,,3,,24,3,,,,,,
1998,Switzerland,Gunvor,Lass Ihn,25,,5,,25,0,,,,,,
1999,Sweden,Charlotte Nilsson,Take Me To Your Heaven,1,,15,,1,163,,,,,,
1999,Iceland,Selma Björnsdóttir,All Out Of Luck,2,,13,,2,146,,,,,,
1999,Germany,Sürpriz,Reise Nach Jerusalem - Kudüs'e Seyahat,3,,21,,3,140,,,,,,
1999,Croatia,Doris Dragović,Marija Magdalena,4,,4,,4,118,,,,,,
1999,Israel,Eden,Yom Huledeth,5,,19,,5,93,,,,,,
1999,Estonia,Evelin Samuel and Camille,Diamond Of Night,6,,23,,6,90,,,,,,
1999,Bosnia & Herzegovina,Dino and Beatrice,Putnici,7,,22,,7,86,,,,,,
1999,Denmark,Trine Jepsen & Michael Teschl,This Time (i Mean It),8,,9,,8,71,,,,,,
1999,Netherlands,Marlayne,One Good Reason,8,,11,,8,71,,,,,,
1999,Austria,Bobbie Singer,Reflection,10,,18,,10,65,,,,,,
1999,Slovenia,Darja Svajger,For A Thousand Years,11,,6,,11,50,,,,,,
1999,Belgium,Venessa Chinitor,Like The Wind,12,,2,,12,38,,,,,,
1999,United Kingdom,Precious,Say It Again,12,,5,,12,38,,,,,,
1999,Norway,Stig André Van Eijk,Living My Life Without You,14,,8,,14,35,,,,,,
1999,Malta,Times 3,Believe 'n Peace,15,,20,,15,32,,,,,,
1999,Turkey,Tuba Önal & Grup Mystik,Dön Artik,16,,7,,16,21,,,,,,
1999,Ireland,The Mullan's,When You Need Me,17,,17,,17,18,,,,,,
1999,Poland,Mietek Szczesniak,Przytul Mnie Mocno,18,,12,,18,17,,,,,,
1999,France,Nayah,Je Veux Donner Ma Voix,19,,10,,19,14,,,,,,
1999,Lithuania,Aiste Smilgeviciute,Strazdas,20,,1,,20,13,,,,,,
1999,Portugal,Rui Bandeira,Como Tudo Começou,21,,16,,21,12,,,,,,
1999,Cyprus,Marlain Angelidou,Tha'nai Erotas,22,,14,,22,2,,,,,,
1999,Spain,Lydia,No Quiero Escuchar,23,,3,,23,1,,,,,,
2000,Denmark,Olsen brothers,Fly On The Wings Of Love,1,,14,,1,195,,,,,,
2000,Russia,Alsou,Solo,2,,9,,2,155,,,,,,
2000,Latvia,BrainStorm,My Star,3,,21,,3,136,,,,,,
2000,Estonia,Ines,Once In A Lifetime,4,,4,,4,98,,,,,,
2000,Germany,Stefan Raab,Wadde Hadde Dudde Da,5,,15,,5,96,,,,,,
2000,Ireland,Eamonn Toal,Millennium Of Love,6,,23,,6,92,,,,,,
2000,Sweden,Roger Pontare,When Spirits Are Calling My Name,7,,18,,7,88,,,,,,
2000,Malta,Claudette Pace,Desire,8,,7,,8,73,,,,,,
2000,Croatia,Goran Karan,Kada Zaspu Andeli,9,,17,,9,70,,,,,,
2000,Turkey,Pinar Ayhan & S.O.S. band,Yorgunum Anla,10,,22,,10,59,,,,,,
2000,Norway,Charmed,My Heart Goes Boom,11,,8,,11,57,,,,,,
2000,Iceland,August & Telma,Tell Me!,12,,12,,12,45,,,,,,
2000,Netherlands,Linda Wagenmakers,No Goodbyes,13,,2,,13,40,,,,,,
2000,Austria,The rounder girls,All To You,14,,24,,14,34,,,,,,
2000,North Macedonia,XXL,100% Te Ljubam,15,,19,,15,29,,,,,,
2000,United Kingdom,Nicki French,Don't Play That Song Again,16,,3,,16,28,,,,,,
2000,Romania,Taxi,The Moon,17,,6,,17,25,,,,,,
2000,Spain,Serafín Zubiri,Colgado De Un Sueño,18,,13,,18,18,,,,,,
2000,Finland,Nina Åström,A Little Bit,18,,20,,18,18,,,,,,
2000,Switzerland,Jane Bogaert,La Vita Cos'è?,20,,16,,20,14,,,,,,
2000,Cyprus,Voice,Nomiza,21,,11,,21,8,,,,,,
2000,Israel,Ping Pong,Sa'me'akh,22,,1,,22,7,,,,,,
2000,France,Sofia Mestari,On Aura Le Ciel,23,,5,,23,5,,,,,,
2000,Belgium,Nathalie Sorce,Envie De Vivre,24,,10,,24,2,,,,,,
2001,Estonia,"Tanel Padar, Dave Benton & 2XL",Everybody,1,,20,,1,198,,,,,,
2001,Denmark,Rollo & King,Never Ever Let You Go,2,,23,,2,177,,,,,,
2001,Greece,Antique,Die For You,3,,22,,3,147,,,,,,
2001,France,Natasha Saint-Pier,Je N'ai Que Mon âme,4,,14,,4,142,,,,,,
2001,Sweden,Friends,Listen To Your Heartbeat,5,,7,,5,100,,,,,,
2001,Spain,David Civera,Dile Que La Quiero,6,,13,,6,76,,,,,,
2001,Slovenia,Nua Derenda,Energy,7,,17,,7,70,,,,,,
2001,Germany,Michelle,Wer Liebe Lebt,8,,19,,8,66,,,,,,
2001,Malta,Fabrizio Faniello,Another Summer Night,9,,21,,9,48,,,,,,
2001,Croatia,Vanna,Strings Of My Heart,10,,10,,10,42,,,,,,
2001,Turkey,Sedat Yüce,Sevgiliye Son,11,,15,,11,41,,,,,,
2001,Russia,Mumiy troll,Lady Alpine Blue,12,,6,,12,37,,,,,,
2001,Lithuania,Skamp,You Got Style,13,,8,,13,35,,,,,,
2001,Bosnia & Herzegovina,Nino,Hano,14,,3,,14,29,,,,,,
2001,United Kingdom,Lindsay D.,No Dream Impossible,15,,16,,15,28,,,,,,
2001,Israel,Tal Sondak,Ein Davar,16,,5,,16,25,,,,,,
2001,Portugal,MTM,Só Sei Ser Feliz Assim,17,,11,,17,18,,,,,,
2001,Netherlands,Michelle,Out On My Own,18,,1,,18,16,,,,,,
2001,Latvia,Arnis Mednis,Too Much,18,,9,,18,16,,,,,,
2001,Poland,Piasek,2 Long,20,,18,,20,11,,,,,,
2001,Ireland,Gary O'Shaughnessy,Without Your Love,21,,12,,21,6,,,,,,
2001,Iceland,TwoTricky,Angel,22,,2,,22,3,,,,,,
2001,Norway,Haldor Lægreid,On My Own,22,,4,,22,3,,,,,,
2002,Latvia,Marie N,I Wanna,1,,23,,1,176,,,,,,
2002,Malta,Ira Losco,7th Wonder,2,,20,,2,164,,,,,,
2002,United Kingdom,Jessica Garlick,Come Back,3,,2,,3,111,,,,,,
2002,Estonia,Sahléne,Runaway,3,,8,,3,111,,,,,,
2002,France,Sandrine François,Il Faut Du Temps,5,,17,,5,104,,,,,,
2002,Cyprus,One,Gimme,6,,1,,6,85,,,,,,
2002,Spain,Rosa,Europe's Living A Celebration,7,,5,,7,81,,,,,,
2002,Sweden,Afro-dite,Never Let It Go,8,,12,,8,72,,,,,,
2002,Romania,Monica Anghel & Marcel Pavel,Tell Me Why,9,,21,,9,71,,,,,,
2002,Russia,Prime minister,Northern Girl,10,,7,,10,55,,,,,,
2002,Croatia,Vesna Pisarovic,Everything I Want,11,,6,,11,44,,,,,,
2002,Israel,Sarit Hadad,Light A Candle,12,,10,,12,37,,,,,,
2002,Bosnia & Herzegovina,Maja,Na Jastuku Za Dvoje,13,,15,,13,33,,,,,,
2002,Belgium,Sergio & the Ladies,Sister,13,,16,,13,33,,,,,,
2002,Slovenia,Sestre,Samo Ljubezen,13,,22,,13,33,,,,,,
2002,Turkey,Buket Bengisu & Saphire,Leylaklar Soldu Kalbinde,16,,19,,16,29,,,,,,
2002,Greece,Michalis Rakintzis,S.A.G.A.P.O.,17,,4,,17,27,,,,,,
2002,Austria,Manuel Ortega,Say A Word,18,,3,,18,26,,,,,,
2002,North Macedonia,Karolina,Od Nas Zavisi,19,,9,,19,25,,,,,,
2002,Finland,Laura,Addicted To You,20,,13,,20,24,,,,,,
2002,Germany,Corinna May,I Can't Live Without Music,21,,18,,21,17,,,,,,
2002,Switzerland,Francine Jordi,Dans Le Jardin De Mon Âme,22,,11,,22,15,,,,,,
2002,Lithuania,Aivaras,Happy You,23,,24,,23,12,,,,,,
2002,Denmark,Malene,Tell Me Who You Are,24,,14,,24,7,,,,,,
2003,Turkey,Sertab Erener,Everyway That I Can,1,,4,,1,167,,,,,,
2003,Belgium,Urban Trad,Sanomi,2,,22,,2,165,,,,,,
2003,Russia,t.A.T.u.,"Ne Ver, Ne Boisia",3,,11,,3,164,,,,,,
2003,Norway,Jostein Hasselgård,I'm Not Afraid To Move On,4,,18,,4,123,,,,,,
2003,Sweden,Fame,Give Me Your Love,5,,25,,5,107,,,,,,
2003,Austria,Alf Poier,Weil Der Mensch Zählt,6,,2,,6,101,,,,,,
2003,Poland,Ich Troje,Keine Grenzen - Zadnych Granic,7,,20,,7,90,,,,,,
2003,Iceland,Birgitta,Open Your Heart,8,,1,,8,81,,,,,,
2003,Spain,Beth,Dime,8,,12,,8,81,,,,,,
2003,Romania,Nicola,Dont Break My Heart,10,,24,,10,73,,,,,,
2003,Ireland,Mickey Harte,We've Got The World,11,,3,,11,53,,,,,,
2003,Germany,Lou,Lets Get Happy,11,,10,,11,53,,,,,,
2003,Netherlands,Esther Hart,One More Night,13,,14,,13,45,,,,,,
2003,Ukraine,Olexandr,Hasta La Vista,14,,16,,14,30,,,,,,
2003,Croatia,Claudia Beni,Vie Nisam Tvoja,15,,8,,15,29,,,,,,
2003,Bosnia & Herzegovina,Mija Martina,Ne Brini,16,,6,,16,27,,,,,,
2003,Greece,Mando,Never Let You Go,17,,17,,17,25,,,,,,
2003,France,Louisa Baileche,Monts Et Merveilles,18,,19,,18,19,,,,,,
2003,Israel,Lior Narkis,Words For Love,19,,13,,19,17,,,,,,
2003,Cyprus,Stelios Constantas,Feeling Alive,20,,9,,20,15,,,,,,
2003,Estonia,Ruffus,Eighties Coming Back,21,,23,,21,14,,,,,,
2003,Portugal,Rita Guerra,Deixa-me Sonhar,22,,7,,22,13,,,,,,
2003,Slovenia,Karmen,Nanana,23,,26,,23,7,,,,,,
2003,Latvia,F.L.Y.,Hello From Mars,24,,21,,24,5,,,,,,
2003,Malta,Lynn Chirchop,To Dream Again,25,,5,,25,4,,,,,,
2003,United Kingdom,Jemini,Cry Baby,26,,15,,26,0,,,,,,
2004,Ukraine,Ruslana,Wild Dances,1,0,10,11,1,280,2,256,,,,
2004,Serbia & Montenegro,Željko Joksimović,Lane Moje,2,0,5,20,2,263,1,263,,,,
2004,Greece,Sakis Rouvas,Shake It,3,0,16,10,3,252,3,238,,,,
2004,Turkey,Athena,For Real,4,,22,,4,195,,,,,,
2004,Cyprus,Lisa Andreas,Stronger Every Minute,5,0,21,14,5,170,5,149,,,,
2004,Sweden,Lena Philipsson,It Hurts,5,,24,,5,170,,,,,,
2004,Albania,Anjeza Shahini,The Image Of You,7,0,9,13,7,106,4,167,,,,
2004,Germany,Max,Can't Wait Until Tonight,8,,8,,8,93,,,,,,
2004,Bosnia & Herzegovina,Deen,In The Disco,9,0,12,21,9,91,7,133,,,,
2004,Spain,Ramón,Para Llenarme De Ti,10,,1,,10,87,,,,,,
2004,Russia,Julia Savicheva,Believe Me,11,,14,,11,67,,,,,,
2004,Malta,Julie & Ludwig,On Again... Off Again,12,0,6,8,12,50,8,74,,,,
2004,Croatia,Ivan Mikulic,You Are The Only One,12,0,11,18,12,50,9,72,,,,
2004,North Macedonia,Tose Proeski,Life,14,0,15,15,14,47,10,71,,,,
2004,France,Jonatan Cerrada,A Chaque Pas,15,,4,,15,40,,,,,,
2004,United Kingdom,James Fox,Hold On To Our Love,16,,20,,16,29,,,,,,
2004,Poland,Blue Cafe,Love Song,17,,19,,17,27,,,,,,
2004,Romania,Sanda Ladosi,I Admit,18,,23,,18,18,,,,,,
2004,Iceland,Jónsi,Heaven,19,,17,,19,16,,,,,,
2004,Netherlands,Re-union,Without You,20,0,7,22,20,11,6,146,,,,
2004,Austria,Tie Break,Du Bist,21,,2,,21,9,,,,,,
2004,Belgium,Xandee,1 Life,22,,13,,22,7,,,,,,
2004,Ireland,Chris Doran,If My World Stopped Turning,22,,18,,22,7,,,,,,
2004,Norway,Knut Anders Sørum,High,24,,3,,24,3,,,,,,
2004,Estonia,Neiokõsõ,Tii,25,0,,17,,,11,57,,,,
2004,Israel,David D'or,Le'ha'amin,25,0,,5,,,11,57,,,,
2004,Denmark,Tomas Thordarson,Shame On You,27,0,,19,,,13,56,,,,
2004,Finland,Jari Sillanpää,Takes 2 To Tango,28,0,,1,,,14,51,,,,
2004,Portugal,Sofia,Foi Magia,29,0,,7,,,15,38,,,,
2004,Lithuania,Linas ir Simona,What's Happened To Your Love,30,0,,12,,,16,26,,,,
2004,Latvia,Fomins & Kleins,Dziesma Par Laimi,31,0,,4,,,17,23,,,,
2004,Andorra,Marta Roure,Jugarem A Estimar-nos,32,0,,6,,,18,12,,,,
2004,Belarus,Aleksandra & Konstantin,My Galileo,33,0,,2,,,19,10,,,,
2004,Monaco,Maryon,Notre Planète,33,0,,9,,,19,10,,,,
2004,Slovenia,Platin,Stay Forever,35,0,,16,,,21,5,,,,
2004,Switzerland,Piero Esteriore & the MusicStars,Celebrate,36,0,,3,,,22,0,,,,
2005,Greece,Helena Paparizou,My Number One,1,,19,,1,230,,,,,,
2005,Malta,Chiara,Angel,2,,3,,2,192,,,,,,
2005,Romania,Luminita Anghel & Sistem,Let Me Try,3,0,4,14,3,158,1,235,,,,
2005,Israel,Shiri Maymon,Hasheket Shenish'ar,4,0,11,7,4,154,7,158,,,,
2005,Latvia,Walter & Kazha,The War Is Not Over,5,0,23,5,5,153,10,85,,,,
2005,Moldova,Zdob şi Zdub,Boonika Bate Doba,6,0,7,4,6,148,2,207,,,,
2005,Serbia & Montenegro,No Name,Zauvijek Moja,7,,12,,7,137,,,,,,
2005,Switzerland,Vanilla Ninja,Cool Vibes,8,0,22,19,8,128,8,114,,,,
2005,Norway,Wig Wam,In My Dreams,9,0,5,13,9,125,6,164,,,,
2005,Denmark,Jakob Sveistrup,Talking To You,9,0,13,24,9,125,3,185,,,,
2005,Croatia,Boris Novkovic feat. Lado members,Vukovi Umiru Sami,11,0,18,20,11,115,4,169,,,,
2005,Hungary,NOX,Forogj Világ,12,0,1,15,12,97,5,167,,,,
2005,Turkey,Gülseren,Rimi Rimi Ley,13,,6,,13,92,,,,,,
2005,Bosnia & Herzegovina,Feminnem,Call Me,14,,21,,14,79,,,,,,
2005,Russia,Natalia Podolskaya,Nobody Hurt No One,15,,20,,15,57,,,,,,
2005,Albania,Ledina Celo,Tomorrow I Go,16,,8,,16,53,,,,,,
2005,North Macedonia,Martin Vucic,Make My Day,17,0,15,17,17,52,9,97,,,,
2005,Cyprus,Constantinos Christoforou,Ela Ela,18,,9,,18,46,,,,,,
2005,Sweden,Martin Stenmarck,Las Vegas,19,,14,,19,30,,,,,,
2005,Ukraine,Greenjolly,Razom Nas Bahato,19,,16,,19,30,,,,,,
2005,Spain,Son de sol,Brujería,21,,10,,21,28,,,,,,
2005,United Kingdom,Javine,Touch My Fire,22,,2,,22,18,,,,,,
2005,France,Ortal,Chacun Pense à Soi,23,,24,,23,11,,,,,,
2005,Germany,Gracia,Run & Hide,24,,17,,24,4,,,,,,
